Job Title,Job Qualifications,URL,Type,Work Hours,Kota,Georeferenced,Longitude,Latitude
Python Machine Learning Developer,"AWS Lambda, Amazon Redshift, Amazon Web Services (AWS), Data Science, Machine Learning, Pandas (Software), PyTorch, Python (Programming Language), Tableau, and TensorFlow",https://www.linkedin.com/jobs/search/?currentJobId=4014358169&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Python Machine Learning Developer,"AWS Lambda, Amazon Redshift, Amazon Web Services (AWS), Data Science, Machine Learning, Pandas (Software), PyTorch, Python (Programming Language), Tableau, and TensorFlow",https://www.linkedin.com/jobs/search/?currentJobId=4014358169&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Computer Aided Design Engineer (U.S.-Based Clients),"3D Modeling, AutoCAD, Computer-Aided Design (CAD), Design Engineering, Revit, SketchUp, Solar PV Design, and Technical Drawing",https://www.linkedin.com/jobs/search/?currentJobId=3901312193&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
"Software Engineer Full-time (AI, Video and Audio Compositor)","Amazon Web Services (AWS), Back-End Web Development, C++, JavaScript, Next.js, Node.js, OpenGL, Python (Programming Language), Software Development, and TypeScript",https://www.linkedin.com/jobs/search/?currentJobId=4016413337&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
"Artificial Intelligence Engineer, 2 Hour Learning (Remote) - $100,000/year USD","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js",https://www.linkedin.com/jobs/search/?currentJobId=4017080713&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote  ,Full-time,Surabaya,POINT (112.740515 -7.244582),112.740515,-7.244582
Junior Platform Engineer,"Amazon Web Services (AWS), Container Orchestration, Containerization, Continuous Integration and Continuous Delivery (CI/CD), DevOps, Grafana, Infrastructure as code (IaC), Kubernetes, Scripting, Skill Development, and Unconscious Bias Awareness Training",https://www.linkedin.com/jobs/search/?currentJobId=3980306195&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Search Engine Optimization Specialist,"Campaigns, Job Skills, Keyword Research, Link Building, Off-Page SEO, Online Marketing, Search Engine Optimization (SEO), Search Engines, Strategic Thinking, and Web Analytics",https://www.linkedin.com/jobs/search/?currentJobId=3954201304&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Senior UX Researcher,"Business Insights, Communication, Human Computer Interaction, Presentation Skills, Presentations, Product Design, Qualitative & Quantitative Research Methodologies, Quantitative Research, UX Research, and User Experience (UX)",https://www.linkedin.com/jobs/search/?currentJobId=3958860012&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Sales for AI Solutions,"Account Management, Communication, Customer Satisfaction, Customer Service, Direct Sales, Negotiation, Sales, Sales Management, Sales Operations, and Sales Processes",https://www.linkedin.com/jobs/search/?currentJobId=4013806703&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Contract,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Growth Marketing Manager,"Analytical Skills, Creative Campaign Development, Digital Marketing, Growth Marketing, Interpersonal Skills, Marketing Strategy, and Social Media Marketing",https://www.linkedin.com/jobs/search/?currentJobId=3959971113&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
GoTo Financial - Data Scientist Intern - Indonesia,"Data Science, Deep Learning, Engineering Documentation, Machine Learning, Pattern Recognition, Prediction, Predictive Analytics, PyTorch, Statistical Data Analysis, Technical Documentation",https://www.linkedin.com/jobs/search/?currentJobId=3992117571&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Scientist,"Analytics, Data Science, English, Industrial Automation, Manufacturing Processes, Programming Languages, and Python (Programming Language)",https://www.linkedin.com/jobs/search/?currentJobId=4007781153&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Contract,Cikarang,POINT (106.95 -6.15),106.95,-6.15
Analys Programmer,"Computer Engineering, Computer Science, Databases, Git, JavaScript, Programming, Programming Languages, Python (Programming Language), SQL, SQL Database Administration, Software Development, Web Applications, and jQuery",https://www.linkedin.com/jobs/search/?currentJobId=4013459022&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Contributor,"Data Entry, Email, Information Technology, and Spam Filtering",https://www.linkedin.com/jobs/search/?currentJobId=3960228593&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Contract,Surabaya,POINT (112.740515 -7.244582),112.740515,-7.244582
Data Scientist,C++ and Python (Programming Language),https://www.linkedin.com/jobs/search/?currentJobId=4003664133&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Scientist - Experimentation,"Analytics, Communication, Data Management, Data Science, Design of Experiments (DOE), Git, Interpersonal Communication, Natural Language Processing (NLP), Problem Solving, Technical Requirements",https://www.linkedin.com/jobs/search/?currentJobId=3919849049&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
