,Job Title,Job Qualifications,URL,Type,Work Hours,Kota,Georeferenced,Longitude,Latitude
0,Python Machine Learning,"AWS Lambda, Amazon Redshift, Amazon Web Services (AWS), Data Science, Machine Learning, Pandas (Software), PyTorch, Python (Programming Language), Tableau, and TensorFlow",https://www.linkedin.com/jobs/search/?currentJobId=4014358169&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
1,Python Machine Learning,"AWS Lambda, Amazon Redshift, Amazon Web Services (AWS), Data Science, Machine Learning, Pandas (Software), PyTorch, Python (Programming Language), Tableau, and TensorFlow",https://www.linkedin.com/jobs/search/?currentJobId=4014358169&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
2,Computer Aided Design Engineer,"3D Modeling, AutoCAD, Computer-Aided Design (CAD), Design Engineering, Revit, SketchUp, Solar PV Design, and Technical Drawing",https://www.linkedin.com/jobs/search/?currentJobId=3901312193&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
3,Software Engineer,"Amazon Web Services (AWS), Back-End Web Development, C++, JavaScript, Next.js, Node.js, OpenGL, Python (Programming Language), Software Development, and TypeScript",https://www.linkedin.com/jobs/search/?currentJobId=4016413337&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
4,Artificial Intelligence Engineer,"Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js",https://www.linkedin.com/jobs/search/?currentJobId=4017080713&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Surabaya,POINT (112.740515 -7.244582),112.740515,-7.244582
5,Platform Engineer,"Amazon Web Services (AWS), Container Orchestration, Containerization, Continuous Integration and Continuous Delivery (CI/CD), DevOps, Grafana, Infrastructure as code (IaC), Kubernetes, Scripting, Skill Development, and Unconscious Bias Awareness Training",https://www.linkedin.com/jobs/search/?currentJobId=3980306195&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
6,Sales for AI Solutions,"Account Management, Communication, Customer Satisfaction, Customer Service, Direct Sales, Negotiation, Sales, Sales Management, Sales Operations, and Sales Processes",https://www.linkedin.com/jobs/search/?currentJobId=4013806703&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Contract,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
7,Data Scientist,"Data Science, Deep Learning, Engineering Documentation, Machine Learning, Pattern Recognition, Prediction, Predictive Analytics, PyTorch, Statistical Data Analysis, Technical Documentation",https://www.linkedin.com/jobs/search/?currentJobId=3992117571&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
8,Data Scientist,"Analytics, Data Science, English, Industrial Automation, Manufacturing Processes, Programming Languages, and Python (Programming Language)",https://www.linkedin.com/jobs/search/?currentJobId=4007781153&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Contract,Cikarang,POINT (106.95 -6.15),106.95,-6.15
9,Analys Programmer,"Computer Engineering, Computer Science, Databases, Git, JavaScript, Programming, Programming Languages, Python (Programming Language), SQL, SQL Database Administration, Software Development, Web Applications, and jQuery",https://www.linkedin.com/jobs/search/?currentJobId=4013459022&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
10,Data Contributor,"Data Entry, Email, Information Technology, and Spam Filtering",https://www.linkedin.com/jobs/search/?currentJobId=3960228593&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Contract,Surabaya,POINT (112.740515 -7.244582),112.740515,-7.244582
11,Data Scientist,C++ and Python (Programming Language),https://www.linkedin.com/jobs/search/?currentJobId=4003664133&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
12,Data Scientist,"Analytics, Communication, Data Management, Data Science, Design of Experiments (DOE), Git, Interpersonal Communication, Natural Language Processing (NLP), Problem Solving, Technical Requirements",https://www.linkedin.com/jobs/search/?currentJobId=3919849049&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
13,Research And Development Scientist,"Cost-Benefit Analysis, Formulation, Meat, Product Evaluations, and Research and Development (R&D)",https://www.linkedin.com/jobs/search/?currentJobId=4017792626&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Batang,POINT (109.73091568863286 -6.9064986322177955),109.73091568863286,-6.906498632217796
14,Data Scientist,"Analytical Solutions, Communication, Data Science, Machine Learning, Predictive Analytics, Problem Solving, Python (Programming Language), R (Programming Language), Statistics, Technical Documentation",https://www.linkedin.com/jobs/search/?currentJobId=3962932342&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Internship,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
15,Data Scientist,"Business Requirements, Communication, Data Management, Data Manipulation, Data Science, Interpersonal Communication, Scikit-Learn, Technical Specs, TensorFlow, XGBoost",https://www.linkedin.com/jobs/search/?currentJobId=3982926334&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
16,Data Science,"Analytics, Artificial Intelligence (AI), Communication, Data Engineering, Data Science, Data Visualization, Natural Language Processing (NLP), Problem Solving, Statistics, Visualization",https://www.linkedin.com/jobs/search/?currentJobId=3977667934&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
17,Data Scientist User Centric Analytics,"Apache Spark, Artificial Intelligence (AI), Computer Science, Data Science, Mathematics,Prediction, Python (Programming Language), Statistical Analysis, Statistical Modeling, TensorFlow",https://www.linkedin.com/jobs/search/?currentJobId=4014355649&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Hybrid,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
18,Data Analyst,"Attention to Detail, Business Analytics, Critical Thinking, Data Analysis, MySQL, Python (Programming Language), and Statistical Tools",https://www.linkedin.com/jobs/search/?currentJobId=4002197158&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
19,Machine Learning Engineer,"Artificial Intelligence (AI), Business Requirements, Data Science, Interpersonal Communication, MLflow, Machine Learning, Pattern Recognition, Scikit-Learn, Technical SpecsTensorFlow",https://www.linkedin.com/jobs/search/?currentJobId=3909120263&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
20,Artificial Intelligence Engineer,"Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js",https://www.linkedin.com/jobs/search/?currentJobId=4017079765&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
21,Data Scientist,"Business Requirements, Data Management, Data Manipulation, Data Science, Interpersonal Communication, Machine Learning, SQL, Scikit-Learn, Technical Requirements, Technical Specs",https://www.linkedin.com/jobs/search/?currentJobId=3987506333&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
22,Full Stack Engineer,"Cascading Style Sheets (CSS), Django, Full-Stack Development, HTML, Programming, SASS, Software Development, Vue.js, Web Applications, and Web Development",https://www.linkedin.com/jobs/search/?currentJobId=4014192628&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,Hybrid,Full-time,Denpasar,POINT (115.21671667855678 -8.671656304136919),115.21671667855678,-8.671656304136919
23,Software Engineer,"Computer Science, Programming, Programming Languages, Software Development, and Web Applications",https://www.linkedin.com/jobs/search/?currentJobId=3986196797&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,Hybrid,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
24,Artificial Intelligence & Data  ID,"Analytics, Big Four Accounting Firms, Data Ingestion, ETL Tools, Extract, Transform, Load (ETL), Google Cloud Dataflow, Problem Solving, Project Teams, Service Orientation (Social), Strategy to Execution",https://www.linkedin.com/jobs/search/?currentJobId=3975013615&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
25,Data Scientist,"Business Process, Computer Science, Data Engineering, Data Models, Data Science, Data Visualization, Optimization, Pattern Recognition, Predictive Analytics, Statistical Data Analysis",https://www.linkedin.com/jobs/search/?currentJobId=4000193580&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
26,Data Scientist,"Artificial Intelligence (AI), Data Science, Deep Learning, Econometrics, English, Machine Learning, MySQL, PostgreSQL, Python (Programming Language), and SQL",https://www.linkedin.com/jobs/search/?currentJobId=3967875616&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,Hybrid,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
27,Data Scientist,"Computer Science,Data Manipulation, Data Science, Machine Learning, Python (Programming Language), SQL, Statistical Analysis, Statistics, Technical Documentation, Visualization",https://www.linkedin.com/jobs/search/?currentJobId=3973608232&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
28,Artificial Intelligence Engineer,"Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js",https://www.linkedin.com/jobs/search/?currentJobId=4017084003&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,Remote,Full-time,Yogyakarta,POINT (110.36450235280027 -7.800954474217425),110.36450235280029,-7.800954474217425
29,ECommerce Data Analyst,"Analytical Skills, Attention to Detail, Communication, Digital Marketing, Keyword Research, Leadership, Marketing, Oral Communication, SQL, and Search Engine Optimization (SEO)",https://www.linkedin.com/jobs/search/?currentJobId=4007626361&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=25,On-site,Full-time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
